r6,r5,r4,r3,r2,r1,team_name,team_seed,team_num
0,0,0,0,0,0,UConn,1,1
0,0,0,0,0,0,Stetson,16,2
0,0,0,0,0,0,Florida Atl,8,3
0,0,0,0,0,0,Northwestern,9,4
0,0,0,0,0,0,SD State,5,5
0,0,0,0,0,0,UAB,12,6
0,0,0,0,0,0,Auburn,4,7
0,0,0,0,0,0,Yale,13,8
0,0,0,0,0,0,BYU,6,9
0,0,0,0,0,0,Duquesne,11,10
0,0,0,0,0,0,Illinois,3,11
0,0,0,0,0,0,Morehead St.,14,12
0,0,0,0,0,0,Washington St.,7,13
0,0,0,0,0,0,Drake,10,14
0,0,0,0,0,0,Iowa St.,2,15
0,0,0,0,0,0,South Dakota St.,15,16
0,0,0,0,0,0,North Carolina,1,17
0,0,0,0,0,0,Wagner,16,18
0,0,0,0,0,0,Mississippi St.,8,19
0,0,0,0,0,0,Michigan St.,9,20
0,0,0,0,0,0,Saint Mary's,5,21
0,0,0,0,0,0,Grand Canyon,12,22
0,0,0,0,0,0,Alabama,4,23
0,0,0,0,0,0,Charleston,13,24
0,0,0,0,0,0,Clemson,6,25
0,0,0,0,0,0,New Mexico,11,26
0,0,0,0,0,0,Baylor,3,27
0,0,0,0,0,0,Colegate,14,28
0,0,0,0,0,0,Daytona,7,29
0,0,0,0,0,0,Nevada,10,30
0,0,0,0,0,0,Arizona,2,31
0,0,0,0,0,0,Long Beach St.,15,32
0,0,0,0,0,0,Houston,1,33
0,0,0,0,0,0,Longwood,16,34
0,0,0,0,0,0,Nebraska,8,35
0,0,0,0,0,0,Texas A&M,9,36
0,0,0,0,0,0,Wisconsin,5,37
0,0,0,0,0,0,James Madison,12,38
0,0,0,0,0,0,Duke,4,39
0,0,0,0,0,0,Vermont,13,40
0,0,0,0,0,0,Texas Tech,6,41
0,0,0,0,0,0,NC State,11,42
0,0,0,0,0,0,Kentucky,3,43
0,0,0,0,0,0,Oakland,14,44
0,0,0,0,0,0,Florida,7,45
0,0,0,0,0,0,Colorado,10,46
0,0,0,0,0,0,Marquette,2,47
0,0,0,0,0,0,Western Kentucky,15,48
0,0,0,0,0,0,Purdue,1,49
0,0,0,0,0,0,Gramblin,16,50
0,0,0,0,0,0,Utah St.,8,51
0,0,0,0,0,0,TCU,9,52
0,0,0,0,0,0,Gonzaga,5,53
0,0,0,0,0,0,McNeese,12,54
0,0,0,0,0,0,Kansas,4,55
0,0,0,0,0,0,Samford,13,56
0,0,0,0,0,0,South Carolina,6,57
0,0,0,0,0,0,Oregon,11,58
0,0,0,0,0,0,Creighton,3,59
0,0,0,0,0,0,Akron,14,60
0,0,0,0,0,0,Texas,7,61
0,0,0,0,0,0,Colorado State,10,62
0,0,0,0,0,0,Tennessee,2,63
0,0,0,0,0,0,Saint Peter's,15,64
